,,CMIP Variant,Scenario MIP Variant,
CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,r1i1p1f1,Y
CSIRO,ACCESS-ESM1-5,r1i1p1f1,r1i1p1f1,Y
AWI,AWI-CM-1-1-MR,r1i1p1f1,,
BCC,BCC-CSM2-MR,r1i1p1f1,r1i1p1f1,Y
CAMS,CAMS-CSM1-0,,,
CAS,CAS-ESM2-0,,,
NCAR,CESM2,r1i1p1f1,r10i1p1f1,
NCAR,CESM2-WACCM,r1i1p1f1,r1i1p1f1,
THU,CIESM,,,
CMCC,CMCC-CM2-SR5,,,
CMCC,CMCC-ESM2,,,
CNRM-CERFACS,CNRM-CM6-1,,,
CNRM-CERFACS,CNRM-CM6-1-HR,,,
CNRM-CERFACS,CNRM-ESM2-1,,,
CCCma,CanESM5,,,
CCCma,CanESM5-CanOE,,,
E3SM-Project,E3SM-1-1,,,
EC-Earth-Consortium,EC-Earth3,,,
EC-Earth-Consortium,EC-Earth3-AerChem,,,
EC-Earth-Consortium,EC-Earth3-CC,,,
EC-Earth-Consortium,EC-Earth3-Veg,,,
EC-Earth-Consortium,EC-Earth3-Veg-LR,,,
FIO-QLNM,FIO-ESM-2-0,,,
NOAA-GFDL,GFDL-CM4,,,
NOAA-GFDL,GFDL-ESM4,,,
NASA-GISS,GISS-E2-1-G,,,
MOHC,HadGEM3-GC31-LL,,,
MOHC,HadGEM3-GC31-MM,,,
CCCR-IITM,IITM-ESM,,,
INM,INM-CM4-8,,,
INM,INM-CM5-0,,,
IPSL,IPSL-CM5A2-INCA,,,
IPSL,IPSL-CM6A-LR,,,
NIMS-KMA,KACE-1-0-G,,,
KIOST,KIOST-ESM,,,
UA,MCM-UA-1-0,,,
MIROC,MIROC-ES2L,,,
MIROC,MIROC6,,,
HAMMOZ-Consortium,MPI-ESM-1-2-HAM,,,
MPI-M,MPI-ESM1-2-HR,,,
MPI-M,MPI-ESM1-2-LR,,,
MRI,MRI-ESM2-0,,,
NUIST,NESM3,,,
NCC,NorESM2-LM,,,
NCC,NorESM2-MM,,,
MOHC,UKESM1-0-LL,,,
